Date,Open,High,Low,Close,Volume,Adj Close
2017-04-03,58.970001,59.34,58.669998,59.200001,1292900,59.200001
2017-03-31,58.950001,59.009998,58.630001,58.880001,1000900,58.880001
2017-03-30,58.919998,58.98,58.509998,58.77,1086500,58.77
2017-03-29,58.810001,58.93,58.610001,58.91,994800,58.91
2017-03-28,58.889999,59.09,58.740002,58.91,1367100,58.91
2017-03-27,58.880001,59.139999,58.779999,59.00,1362100,59.00
2017-03-24,58.869999,59.23,58.700001,58.91,1295100,58.91
2017-03-23,58.66,58.990002,58.50,58.889999,1210800,58.889999
2017-03-22,58.099998,58.790001,58.029999,58.75,3071000,58.75
2017-03-21,57.740002,58.080002,57.639999,58.00,1605900,58.00
2017-03-20,58.299999,58.669998,57.369999,57.560001,2279800,57.560001
2017-03-17,57.650002,58.48,57.630001,58.299999,8410300,58.299999
2017-03-16,57.630001,57.830002,57.540001,57.57,1282100,57.57
2017-03-15,57.360001,57.720001,57.25,57.57,1232600,57.57
2017-03-14,57.599998,57.68,57.240002,57.240002,1570100,57.240002
2017-03-13,57.849998,57.889999,57.52,57.77,1749500,57.77
2017-03-10,58.450001,58.68,58.32,58.59,1446500,57.872
2017-03-09,58.00,58.43,57.869999,58.400002,1637900,57.68433
2017-03-08,58.130001,58.200001,57.799999,57.849998,1130600,57.141067
2017-03-07,58.330002,58.349998,58.00,58.02,5377400,57.308985
2017-03-06,57.880001,58.349998,57.82,58.23,1312400,57.516411
2017-03-03,58.049999,58.110001,57.880001,57.98,1146900,57.269475
2017-03-02,57.93,58.150002,57.75,57.98,1038600,57.269475
2017-03-01,58.189999,58.189999,57.52,57.82,1523600,57.111436
2017-02-28,58.290001,58.619999,57.939999,57.939999,1658500,57.229964
2017-02-27,58.240002,58.549999,57.720001,58.119999,3827700,57.407758
2017-02-24,58.799999,58.82,58.049999,58.16,3124700,57.447269
2017-02-23,59.009998,59.110001,58.799999,58.830002,2892700,58.10906
2017-02-22,58.799999,59.099998,58.73,58.990002,5573300,58.2671
2017-02-21,58.740002,58.98,58.639999,58.799999,2831300,58.079426
2017-02-17,58.59,58.799999,58.41,58.759998,980700,58.039915
2017-02-16,58.610001,58.619999,58.209999,58.599998,1154500,57.881876
2017-02-15,58.029999,58.66,57.98,58.650002,2807800,57.931266
2017-02-14,58.049999,58.080002,57.799999,58.00,1371900,57.28923
2017-02-13,58.299999,58.389999,58.040001,58.150002,1057000,57.437393
2017-02-10,58.25,58.380001,58.049999,58.279999,2126900,57.565797
2017-02-09,58.25,58.450001,58.049999,58.200001,792400,57.48678
2017-02-08,57.889999,58.23,57.59,58.150002,1086400,57.437393
2017-02-07,57.50,57.830002,57.360001,57.740002,1169800,57.032418
2017-02-06,57.599998,57.599998,57.34,57.41,1221100,56.70646
2017-02-03,57.849998,57.849998,57.200001,57.419998,1976600,56.716336
2017-02-02,58.009998,58.009998,57.389999,57.439999,2425600,56.736091
2017-02-01,58.75,58.799999,58.02,58.389999,1448500,57.67445
2017-01-31,58.709999,58.810001,58.369999,58.66,1456000,57.941142
2017-01-30,58.830002,58.869999,58.43,58.830002,1267800,58.10906
2017-01-27,58.639999,58.860001,58.43,58.860001,1223400,58.138692
2017-01-26,58.34,58.610001,58.110001,58.610001,1125000,57.891755
2017-01-25,58.919998,58.93,58.310001,58.34,1194400,57.625064
2017-01-24,58.650002,58.77,58.299999,58.759998,1285200,58.039915
2017-01-23,58.950001,58.959999,58.549999,58.689999,846400,57.970773
2017-01-20,58.529999,59.080002,58.529999,58.93,1512800,58.207833
2017-01-19,58.110001,58.43,58.110001,58.41,1002000,57.694205
2017-01-18,58.48,58.619999,58.060001,58.060001,1893400,57.348496
2017-01-17,58.240002,58.509998,58.009998,58.50,1163900,57.783103
2017-01-16,58.23,58.43,58.009998,58.259998,477000,57.546042
2017-01-13,58.25,58.459999,58.009998,58.189999,989300,57.4769
2017-01-12,57.959999,58.369999,57.57,58.110001,1301300,57.397883
2017-01-11,58.099998,58.099998,57.360001,58.00,1450700,57.28923
2017-01-10,58.00,58.18,57.849998,57.990002,846000,57.279354
2017-01-09,58.299999,58.310001,57.82,57.939999,1188600,57.229964
2017-01-06,58.919998,58.939999,58.509998,58.560001,1307700,57.842369
2017-01-05,58.68,59.049999,58.549999,58.919998,1229800,58.197954
2017-01-04,58.43,58.68,58.119999,58.669998,1125700,57.951018
2017-01-03,58.220001,58.529999,58.119999,58.43,1201600,57.713961
2016-12-30,58.400002,58.41,57.919998,58.029999,788500,57.318861
2016-12-29,58.080002,58.389999,58.040001,58.34,485400,57.625064
2016-12-28,58.34,58.360001,57.950001,58.049999,672600,57.338617
2016-12-23,58.25,58.369999,58.099998,58.259998,607100,57.546042
2016-12-22,57.509998,58.150002,57.400002,58.139999,969300,57.427514
2016-12-21,57.50,57.700001,57.380001,57.459999,775800,56.755847
2016-12-20,57.459999,57.650002,57.220001,57.380001,1334100,56.676829
2016-12-19,57.459999,57.790001,57.240002,57.400002,1626600,56.696584
2016-12-16,57.610001,57.939999,56.950001,57.279999,8664500,56.578052
2016-12-15,57.279999,57.810001,57.27,57.369999,1343000,56.666949
