Country,Coupon,Eff. Maturity,Price,Yield
Canada,0.25,2017-May-01,99.98,0.52
Canada,4,2017-Jun-01,100.55,0.51
Canada,1.25,2017-Aug-01,100.24,0.52
Canada,1.5,2017-Sep-01,100.38,0.56
Canada,0.25,2017-Nov-01,99.81,0.58
Canada,1.25,2018-Feb-01,100.53,0.61
Canada,1.25,2018-Mar-01,100.56,0.63
Canada,0.25,2018-May-01,99.57,0.65
Canada,4.25,2018-Jun-01,104.14,0.65
Canada,0.5,2018-Aug-01,99.77,0.67
Canada,1.25,2018-Sep-01,100.8,0.68
Canada,0.5,2018-Nov-01,99.68,0.7
Canada,0.5,2019-Feb-01,99.59,0.73
Canada,1.75,2019-Mar-01,101.92,0.73
Canada,0.75,2019-May-01,99.98,0.76
Canada,3.75,2019-Jun-01,106.4,0.75
Canada,1.75,2019-Sep-01,102.33,0.77
Canada,1.5,2020-Mar-01,101.89,0.84
Canada,3.5,2020-Jun-01,108.14,0.88
Canada,0.75,2020-Sep-01,99.45,0.92
Canada,0.75,2021-Mar-01,99.16,0.97
Canada,10.5,2021-Mar-15,136.72,0.98
Canada,3.25,2021-Jun-01,109.18,0.99
Canada,9.75,2021-Jun-01,135.65,0.97
Canada,0.75,2021-Sep-01,98.84,1.02
Canada,0.5,2022-Mar-01,97.25,1.08
Canada,2.75,2022-Jun-01,108.15,1.12
Canada,9.25,2022-Jun-01,140.52,1.13
Canada,1.5,2023-Jun-01,101.4,1.26
Canada,8,2023-Jun-01,139.75,1.26
Canada,2.5,2024-Jun-01,107.62,1.38
Canada,2.25,2025-Jun-01,105.95,1.47
Canada,9,2025-Jun-01,157.9,1.45
Canada,1.5,2026-Jun-01,99.34,1.58
Canada,1,2027-Jun-01,93.67,1.68
Canada,8,2027-Jun-01,158.99,1.66
Canada,5.75,2029-Jun-01,142.12,1.86
Canada,5.75,2033-Jun-01,150.15,2.08
Canada,5,2037-Jun-01,144.9,2.22
Canada,4,2041-Jun-01,131.55,2.29
Canada,3.5,2045-Dec-01,125.04,2.3
Canada,2.75,2048-Dec-01,110.97,2.26
Canada,2.75,2064-Dec-01,115.22,2.23
Cda House Tr,2.05,2017-Jun-15,100.29,0.57
Cda House Tr,1.7,2017-Dec-15,100.73,0.64
Cda House Tr,2.05,2018-Jun-15,101.55,0.74
Cda House Tr,2.35,2018-Dec-15,102.58,0.82
Cda House Tr,4.1,2018-Dec-15,105.5,0.83
Cda House Tr,1.95,2019-Jun-15,102.2,0.93
Cda House Tr,2,2019-Dec-15,102.54,1.04
Cda House Tr,3.75,2020-Mar-15,107.66,1.1
Cda House Tr,1.2,2020-Jun-15,100.11,1.16
Cda House Tr,1.45,2020-Jun-15,100.89,1.16
Cda House Tr,1.25,2020-Dec-15,99.95,1.26
Cda House Tr,3.35,2020-Dec-15,107.5,1.26
Cda House Tr,1.25,2021-Jun-15,99.58,1.35
Cda House Tr,3.8,2021-Jun-15,109.95,1.35
Cda House Tr,1.15,2021-Dec-15,98.75,1.43
Cda House Tr,1.5,2021-Dec-15,100.32,1.43
Cda House Tr,2.65,2022-Mar-15,105.61,1.47
Cda House Tr,1.75,2022-Jun-15,101.18,1.51
Cda House Tr,2.4,2022-Dec-15,104.32,1.6
Cda House Tr,2.35,2023-Sep-15,103.9,1.71
Cda House Tr,3.15,2023-Sep-15,108.8,1.7
Cda House Tr,2.9,2024-Jun-15,107.32,1.81
Cda House Tr,2.55,2025-Mar-15,104.8,1.9
Cda House Tr,1.95,2025-Dec-15,99.67,1.99
Cda House Tr,2.25,2025-Dec-15,102.05,1.99
Cda House Tr,1.9,2026-Sep-15,98.33,2.1
Cda House Tr,1.9,2026-Sep-15,98.12,2.12
Cda House Tr,2.35,2027-Jun-15,101.67,2.17
Farm Cr Cda,4.3,2020-Oct-05,110.64,1.18
